int_rate,mths_since_last_delinq,revol_util,tot_cur_bal,delinq_2yrs
9.99,,62.1,231281,0
13.99,52,80.3,96482,0
12.49,,89.4,40534,0
7.69,,19.7,40299,0
5.93,,2.9,183308,0
18.55,43,87.2,40419,0
13.99,66,31.7,5245,0
21,1,2.3,426547,1
9.99,11,40,66750,1
12.29,,0.3,181725,0
16.99,52,53,65516,0
17.51,4,14.2,,3
18.54,8,37.4,19956,1
16.29,80,81,195825,0
13.98,3,64.2,454649,2
17.27,25,77.8,51273,0
12.69,,50.8,105207,0
14.33,66,98.7,75244,0
7.26,63,35.3,187213,0
13.33,,78.7,23759,0
14.33,25,41.6,8693,0
10.99,,69.4,107863,0
12.12,,75,,0
9.17,17,88.8,222928,1
19.52,48,60.3,322003,0
6.24,,52.8,235967,0
13.67,,84,,0
11.99,,54.1,6928,0
6.89,,28,21122,0
14.99,43,6.2,50365,0
14.33,,39.7,,0
11.67,62,41.9,45244,0
13.11,47,46,148372,0
14.31,51,74,79883,0
7.89,24,19.5,9490,0
11.55,,14.1,12924,0
14.35,,85.4,,0
6.62,,40.6,,0
11.55,25,46.5,639078,0
9.17,61,74.3,435184,0
19.91,,95.4,,0
12.99,70,28.8,162144,0
15.31,15,48.5,64535,1
16.99,,67.3,22940,0
13.67,15,62.7,27569,1
19.99,8,99.7,180116,1
21.18,9,97.7,115789,1
20.5,29,49.1,27389,0
16.24,13,50.2,678553,1
17.27,22,85.8,,1
5.32,,25.1,16640,0
14.99,,37.7,21067,0
13.05,,86.9,9412,0
15.61,,11.9,25102,0
5.32,33,74.5,720011,0
6.24,60,1.1,352047,0
14.65,63,74,188089,0
6.24,,22.9,63960,0
20.99,10,36.7,7116,1
9.67,,67.2,271887,0
8.9,,48.1,257099,0
24.89,,56.6,39560,0
6.24,21,18.7,18371,1
12.29,,99.5,20620,0
13.67,,41.6,,0
15.61,,80.8,478165,0
23.99,8,82.2,256950,1
16.55,,41.3,160662,0
21.98,,91.2,38794,0
11.67,39,61.3,17275,0
18.25,,82.9,,0
13.33,42,33,414710,0
7.49,,19.8,,0
10.15,13,68.4,464342,2
11.14,,41.7,415881,0
12.59,35,60.9,38058,0
15.88,,83.8,451766,0
9.17,7,84.9,240502,1
13.33,,35.6,39798,0
13.33,14,95.8,36287,2
5.79,,56.1,,0
17.86,33,68.9,36192,0
15.61,,85.2,147615,0
12.12,,52.4,54056,0
7.26,,21.9,41965,0
12.29,,63,469681,0
18.25,,8.6,179032,0
14.49,,38.9,41390,0
15.31,,26.6,4788,0
10.99,,43.8,182382,0
16.29,61,60.4,230479,0
20.99,36,93.9,,0
12.12,,86.8,102901,0
15.61,,21.8,102452,0
7.62,,25.4,132964,0
15.8,35,78.7,176526,0
11.14,,55.7,,0
11.53,,37.5,3451,0
10.99,,65.6,23151,0
14.65,,83.8,287178,0
17.57,,45.5,81156,0
15.61,23,36.8,7490,1
11.49,,35.3,,0
15.88,58,28.4,46407,0
15.8,,60.2,5963,0
14.65,24,77.8,17643,0
18.75,,79,17824,0
15.31,,41.2,33721,0
18.24,15,59.9,25868,1
15.95,46,53,,0
10.25,,58.1,,0
5.32,,26.9,308738,0
12.29,,20.9,29687,0
12.69,67,42,6569,0
8.39,55,99.3,432966,0
12.68,,65.7,,0
14.33,,78.2,5239,0
7.69,21,14.6,46747,1
10.49,25,64.8,425354,0
15.61,,85.1,170729,0
17.56,47,16.9,218023,0
18.55,,53.5,45689,0
14.33,66,48.6,138101,0
9.17,36,61.6,26637,0
16.99,70,41.4,68505,0
16.55,59,31,4446,0
15.61,,45.8,19383,0
19.99,,51.5,25746,0
9.17,,42.8,100280,0
19.99,,22.1,283359,0
11.67,,3.6,790,0
10.16,,38.5,125382,0
7.9,,45.2,51403,0
18.54,43,74.5,223718,0
17.57,7,54.1,394916,2
9.99,12,52.1,208955,1
14.65,15,52.6,253300,1
13.68,,93.4,19515,0
20.31,42,81.8,84566,0
16.55,9,6.2,42739,3
26.06,,90.8,73805,0
17.76,,44.8,26510,0
18.99,,96.4,96316,0
13.33,23,92.3,50260,1
14.16,15,60.3,16172,1
9.99,,16,22392,0
6.03,43,32.9,2154632,0
11.53,11,91.5,191108,2
10.99,,70.1,20740,0
7.9,15,32.1,78420,1
16.55,1,31.1,501253,1
13.99,9,55.6,13120,4
17.57,,79.9,221530,0
18.55,,77.3,187180,0
24.99,49,60.6,268168,0
7.14,,0.6,,0
12.99,,55.6,35081,0
18.54,,84.1,59188,0
24.99,,18.1,25946,0
14.35,63,83.5,,0
12.59,,70.7,30469,0
15.61,27,28.1,63301,0
7.9,,26.2,106842,0
19.19,,63,33877,1
10.15,26,47.7,55761,0
13.98,19,72.6,41696,2
10.99,51,86.9,141958,0
6.24,,70,54557,0
13.98,,72.8,467166,0
17.57,,73.8,39567,0
9.49,,34.3,381256,0
9.17,7,40.5,30277,2
10.65,,36.8,,0
14.64,15,10.2,57067,1
13.67,73,59.5,289446,0
6.92,16,61.4,114177,1
14.65,22,46.9,11501,2
23.7,,41.8,20815,0
12.69,,89.4,17270,0
6.24,,71.7,42389,0
10.99,,93.4,11435,0
9.99,30,94.4,211372,0
23.43,27,24.4,153557,0
8.9,3,62,212800,1
14.65,,32.1,,0
18.55,,44.8,45573,0
8.18,39,45.6,84812,0
18.92,29,90.9,74972,0
10.99,18,96.6,15896,1
11.99,41,82.7,17700,0
18.92,,98.6,5914,0
12.99,49,90.5,28491,0
17.77,47,77.8,44703,0
12.39,,55.3,295810,0
12.99,,56.1,170680,0
22.47,,92.2,93251,0
9.17,2,25.8,216019,1
7.12,65,29,29412,0
17.57,17,16.8,27429,2
18.84,,56.6,47320,0
19.24,23,96.5,22251,1
5.32,,64.7,183736,0
15.61,22,49.2,168225,1
21.99,,78.3,227054,0
20.99,,97,75423,0
9.99,,36,36850,0
11.14,21,68.1,75229,5
11.53,51,35,122372,0
12.49,54,26.1,29998,0
7.89,,39.2,148018,0
6.62,,25.8,6540,0
11.53,20,51.3,31228,1
13.67,,47.6,4945,0
16.99,1,32.6,12082,2
15.8,64,48.1,16387,0
10.99,62,58.7,332441,0
14.49,23,40.1,17870,1
12.29,,56.5,484658,0
13.11,32,58.9,28603,0
13.68,,67.1,49325,0
13.33,,32.5,59964,0
13.33,,97.6,466688,0
14.99,,95.2,28066,0
15.77,,64.1,79747,0
13.66,,90.8,174094,0
14.83,,76.7,,0
13.11,47,21.7,33552,0
16.99,29,33.1,41894,0
9.17,7,55.9,165556,1
6.03,,13.9,67619,0
9.99,,16.5,9266,0
16.99,8,65.3,133010,1
7.12,,10.8,354751,0
7.89,,37.8,51023,0
17.14,39,19,,0
5.93,,47.7,91320,0
12.29,46,67.7,20416,0
18.24,46,79.5,23616,0
14.33,38,29.4,271735,0
14.49,6,95.1,609035,1
16.29,63,79.7,56359,0
13.33,26,79.9,45371,0
7.89,,66.4,226922,0
